spqo,present_cnt,absent_cnt
"('cellular component', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",2,0
"('cellular component', 'produces', 'n/a', 'anatomical entity')",17,0
"('cellular component', 'produces', 'n/a', 'cellular component')",1,0
"('cellular component', 'produces', 'n/a', 'chemical entity')",268,0
"('cellular component', 'produces', 'n/a', 'gene or gene product')",364,0
"('cellular component', 'produces', 'n/a', 'genomic entity')",8,0
"('cellular component', 'produces', 'n/a', 'organism taxon')",1,0
"('cellular component', 'produces', 'n/a', 'polypeptide')",7,0
"('cellular component', 'related to', 'n/a', 'disease or phenotypic feature')",189,0
"('cellular component', 'treats or applied or studied to treat', 'n/a', 'cell')",1,0
"('chemical entity', 'affects', 'causes', 'chemical entity')",12688,0
"('chemical entity', 'affects', 'causes', 'gene or gene product')",5568,0
"('chemical entity', 'affects', 'n/a', 'activity')",365,0
"('chemical entity', 'affects', 'n/a', 'anatomical entity')",2027,0
"('chemical entity', 'affects', 'n/a', 'behavior')",63,0
"('chemical entity', 'affects', 'n/a', 'biological entity')",43,0
"('chemical entity', 'affects', 'n/a', 'biological process')",33371,0
"('chemical entity', 'affects', 'n/a', 'cell')",7689,0
"('chemical entity', 'affects', 'n/a', 'cellular component')",1741,0
"('chemical entity', 'affects', 'n/a', 'chemical entity')",9476,0
"('chemical entity', 'affects', 'n/a', 'clinical attribute')",415,0
"('chemical entity', 'affects', 'n/a', 'disease or phenotypic feature')",19284,0
"('chemical entity', 'affects', 'n/a', 'event')",2,0
"('chemical entity', 'affects', 'n/a', 'gene or gene product')",25844,0
"('chemical entity', 'affects', 'n/a', 'genomic entity')",117,0
"('chemical entity', 'affects', 'n/a', 'gross anatomical structure')",6498,0
"('chemical entity', 'affects', 'n/a', 'information content entity')",868,0
"('chemical entity', 'affects', 'n/a', 'molecular activity')",4405,0
"('chemical entity', 'affects', 'n/a', 'organism taxon')",127,0
"('chemical entity', 'affects', 'n/a', 'phenomenon')",1675,0
"('chemical entity', 'affects', 'n/a', 'physical entity')",5,0
"('chemical entity', 'affects', 'n/a', 'physiological process')",13,0
"('chemical entity', 'affects', 'n/a', 'polypeptide')",157,0
"('chemical entity', 'affects', 'n/a', 'population of individual organisms')",2,0
"('chemical entity', 'affects', 'n/a', 'procedure')",103,0
"('chemical entity', 'causes', 'n/a', 'activity')",7,0
"('chemical entity', 'causes', 'n/a', 'anatomical entity')",10,0
"('chemical entity', 'causes', 'n/a', 'biological process')",4888,0
"('chemical entity', 'causes', 'n/a', 'disease or phenotypic feature')",23567,0
"('chemical entity', 'causes', 'n/a', 'gene or gene product')",3,0
"('chemical entity', 'causes', 'n/a', 'information content entity')",202,0
"('chemical entity', 'causes', 'n/a', 'molecular activity')",386,0
"('chemical entity', 'causes', 'n/a', 'phenomenon')",166,0
"('chemical entity', 'causes', 'n/a', 'physiological process')",9,0
"('chemical entity', 'causes', 'n/a', 'procedure')",8,0
"('chemical entity', 'close match', 'n/a', 'chemical entity')",119,0
"('chemical entity', 'close match', 'n/a', 'gene or gene product')",14,0
"('chemical entity', 'close match', 'n/a', 'procedure')",20,0
"('chemical entity', 'coexists with', 'n/a', 'biological process')",2,0
"('chemical entity', 'coexists with', 'n/a', 'cellular component')",6,0
"('chemical entity', 'coexists with', 'n/a', 'chemical entity')",27355,0
"('chemical entity', 'coexists with', 'n/a', 'disease or phenotypic feature')",407,0
"('chemical entity', 'coexists with', 'n/a', 'gene or gene product')",8311,0
"('chemical entity', 'coexists with', 'n/a', 'genomic entity')",66,0
"('chemical entity', 'coexists with', 'n/a', 'information content entity')",4,0
"('chemical entity', 'coexists with', 'n/a', 'molecular activity')",32,0
"('chemical entity', 'coexists with', 'n/a', 'organism taxon')",4,0
"('chemical entity', 'coexists with', 'n/a', 'physical entity')",23,0
"('chemical entity', 'coexists with', 'n/a', 'polypeptide')",167,0
"('chemical entity', 'coexists with', 'n/a', 'publication')",2,0
"('chemical entity', 'derives from', 'n/a', 'chemical entity')",1585,0
"('chemical entity', 'derives from', 'n/a', 'disease or phenotypic feature')",2,0
"('chemical entity', 'derives from', 'n/a', 'gene or gene product')",495,0
"('chemical entity', 'derives from', 'n/a', 'genomic entity')",3,0
